OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
38304,2008,CA,USF,SRF,MILL,,2008/06/20 00:00:00+00,2008/10/03 00:00:00+00,65834,65882.0390625,1,476319135.003746,179116.424240336
38305,2008,CA,USF,SRF,HALF,,2008/06/20 00:00:00+00,2008/08/25 00:00:00+00,15118,15130.14648438,1,106835152.84985,66516.4915955722
38323,2008,CA,USF,PNF,RICH,,2008/07/29 00:00:00+00,2008/09/02 00:00:00+00,5572,6110.65136719,1,42239268.5879277,55886.3513084974
38330,2008,CA,USF,PNF,COLD,,2008/06/21 00:00:00+00,2008/08/31 00:00:00+00,5512,5599.29833984,1,38475270.2340634,44308.1261725826
38341,2008,CA,USF,SQF,PIUTE,,2008/06/28 00:00:00+00,2008/07/30 00:00:00+00,37026,37346.24609375,1,228507924.911312,138836.664004672
38342,2008,CA,USF,SQF,CLOVER,,2008/05/31 00:00:00+00,2008/06/07 00:00:00+00,15300,15788.58984375,2,98082033.2646118,69635.1754607982
38356,2008,CA,USF,SHF,BUCKHORN,,2008/06/21 00:00:00+00,2008/07/31 00:00:00+00,31419,29814.30859375,1,210987969.078981,180644.162493614
38384,2008,CA,USF,SHF,SHU LIGHTNING-DEERLICK FIRE,004727,2008/06/20 00:00:00+00,,35312,12976.93261719,1,90794324.6903666,95437.0659697853
38388,2008,CA,USF,SHF,SHU LIGHTNING-MOON FIRE,004727,2008/06/20 00:00:00+00,,35312,35312.21875,1,247743844.647866,130579.703469112
38389,2008,CA,USF,SHF,SHU LIGHTNING-MOTION FIRE,004727,2008/06/20 00:00:00+00,,28330,28329.74023438,1,199657928.360994,102284.396412751
38399,2008,CA,CDF,TGU,MILL,004261,2008/06/21 00:00:00+00,2008/06/29 00:00:00+00,13580,13511.75585938,1,93732420.8048226,50580.4319498308
38408,2009,CA,USF,ANF,STATION,000138,2009/08/26 00:00:00+00,2009/09/22 00:00:00+00,160371,160833.109375,1,956681991.017909,259028.084319444
38414,2009,CA,USF,BDF,SHEEP,000171,2009/10/03 00:00:00+00,2009/10/24 00:00:00+00,7128,7237.87304688,1,43036315.3487716,64242.8704005475
38424,2009,CA,CDF,BEU,GLORIA,002830,2009/08/28 00:00:00+00,2009/09/08 00:00:00+00,,6435.95166016,1,40347179.4489118,35486.3357293335
38435,2009,CA,CDF,CZU,LOCKHEED,009867,2009/08/12 00:00:00+00,2009/08/23 00:00:00+00,7817,7783.06396484,1,49581123.8502801,43587.29536671
38506,2009,CA,USF,LNF,SUGARLOAF,000050,2009/08/01 00:00:00+00,2009/08/12 00:00:00+00,9356,9354.16699219,1,65933259.3390318,55431.2070457673
38518,2009,CA,USF,LPF,LA BREA,000025,2009/08/08 00:00:00+00,2009/08/22 00:00:00+00,91622,97815.3125,1,590394008.943514,115117.6097612
38563,2009,CA,CCO,SBC,JESUSITA,093850,2009/05/05 00:00:00+00,2009/05/17 00:00:00+00,8733,8733.99609375,1,52134060.8318499,49390.5839687141
38566,2009,CA,CDF,SCU,CORRAL,003410,2009/08/13 00:00:00+00,2009/08/20 00:00:00+00,12200,12242.76074219,1,79048966.9926852,42819.166511406
38577,2009,CA,CDF,SHU,CHALK,000102,2009/08/01 00:00:00+00,2009/09/01 00:00:00+00,6923,6846.61962891,1,48670693.0625781,42011.4167253403
38582,2009,CA,CDF,SHU,CASSEL,005594,2009/08/02 00:00:00+00,2009/08/17 00:00:00+00,17623,6098.18603516,1,43292511.9436911,31451.8928401927
38611,2009,CA,USF,SRF,LT-17(BACKBONE),000032,2009/07/01 00:00:00+00,2009/09/03 00:00:00+00,5065,5193.64208984,1,37014229.3179205,49630.3386940364
38612,2009,CA,USF,STF,KNIGHT,00002207,2009/07/26 00:00:00+00,2009/08/21 00:00:00+00,6130,6129.37646484,1,40196581.1110334,50318.9027907892
38640,2009,CA,CCO,VNC,GUIBERSON,054871,2009/09/22 00:00:00+00,2009/09/24 00:00:00+00,17500,17526.68554688,1,104316684.773909,82207.6857013708
39888,2005,CA,NPS,KNP,COMB,00000015,2005/07/22 00:00:00+00,2005/12/01 00:00:00+00,9753.94,9756.46679688,2,61730955.8034749,68042.112221269
39901,2004,CA,NPS,YNP,MEADOW WFU,00001962,2004/06/30 00:00:00+00,2004/07/30 00:00:00+00,5033.36,5031.15673828,2,32556446.5570657,39567.1071745569
40334,2003,CA,NPS,YNP,KIBBIE CMPLX WFU,,2003/07/29 00:00:00+00,2003/11/07 00:00:00+00,5574.38,5570.18701172,2,36415899.5281973,52453.8345608972
40337,2008,CA,NPS,BNP,JACK ,,2008/08/17 00:00:00+00,2008/08/31 00:00:00+00,5397,6067.50048828,1,44232203.0784665,94015.9694602821
40344,2008,CA,NPS,KNP,TEHIPITE,,2008/07/19 00:00:00+00,2008/12/01 00:00:00+00,4140,11648.09179688,2,73930553.4914714,127571.514432339
40357,2001,CA,NPS,YNP,HOOVER,00001965,,,7233,7230.62353516,2,46771700.5419903,136952.977088691
40362,2009,CA,NPS,YNP,BIG MEADOW,003660,2009/08/26 00:00:00+00,2009/09/04 00:00:00+00,7558,7553.21484375,1,48952396.288798,44993.8786802031
40383,2005,CA,NPS,MNP,WILDHORSE,6392,2005/06/22 00:00:00+00,2005/07/07 00:00:00+00,63436,63771.40625,1,386564775.0904,183958.092195848
40384,2005,CA,NPS,MNP,HACKBERRY,6375,2005/06/22 00:00:00+00,2005/07/07 00:00:00+00,5059,7157.85205078,1,43330573.7672844,44018.9017324755
40550,2006,CA,NPS,DVP,CALICO,00006004,2006/07/24 00:00:00+00,2006/08/04 00:00:00+00,9280,9278.41308594,1,57508151.7466588,48013.9909601422
